index,constraint_id,constraint_type,density_bucket,candidate_count,selected_candidate_index,oracle_candidate_index,non_vacuous_oracle_candidate_index,selected_slots,oracle_slots,non_vacuous_oracle_slots,selected_primary_satisfied,oracle_primary_satisfied,non_vacuous_oracle_primary_satisfied,selected_gfr,oracle_gfr,non_vacuous_oracle_gfr,selected_srr,oracle_srr,non_vacuous_oracle_srr,selected_regressions,oracle_regressions,non_vacuous_oracle_regressions,selected_disruption,oracle_disruption,non_vacuous_oracle_disruption,selected_safe,oracle_safe,selected_non_vacuous_safe,oracle_non_vacuous_safe,selected_focus_deleted,oracle_focus_deleted,selected_vacuous_satisfaction_improvement,oracle_vacuous_satisfaction_improvement
59,73929,inverse,1,43,,23,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",,1,1,,0.5,0.5789473684210527,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
61,62202,valueRequiresStatement,1,42,,37,6,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 0, 0, 0, 0]",1,1,1,0.6888888888888889,0.7884615384615384,0.6888888888888889,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
63,52397,valueRequiresStatement,1,42,,38,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.375,0.5555555555555556,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
65,56098,valueType,1,43,,40,,"[74195, 29762, 0, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,1.0,0.95,,0.0,0.07692307692307693,,0,1,,0,1,,0,0,0,0,0,1,0,0
67,52397,valueRequiresStatement,1,42,,37,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.6176470588235294,0.75,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
69,64322,valueType,1,46,,5,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 98872, 31943, 30841]",,0,1,,0.959409594095941,0.9693251533742331,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
70,60307,type,1,44,,8,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,0,1,,0.8888888888888888,1.0,,0.1111111111111111,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
71,62202,valueRequiresStatement,1,42,,38,20,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74195, 29762, 29818, 0, 0, 0]",1,1,1,0.6428571428571429,0.734375,0.6785714285714286,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
72,56958,valueType,1,43,,39,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.8085106382978723,0.8695652173913043,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
77,52397,valueRequiresStatement,1,42,,37,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.5625,0.7027027027027027,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
78,53992,valueType,1,44,,40,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9362745098039216,0.9453781512605042,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
79,68693,valueType,1,43,,39,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.6037735849056604,0.6612903225806451,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
82,56100,type,1,42,,39,,"[74195, 29762, 0, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,1.0,0.9285714285714286,,0.0,0.1111111111111111,,0,1,,0,1,,0,0,0,0,0,1,0,0
85,60094,inverse,1,41,,22,20,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[74215, 74214, 74195, 0, 0, 0]",1,1,1,0.7272727272727273,0.7272727272727273,0.6,0.0,0.0,0.0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
87,66550,valueType,1,44,,40,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8316831683168316,0.853448275862069,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
88,55763,valueType,1,44,,41,,"[74195, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.6666666666666666,0.7272727272727273,,0.0,0.16666666666666666,,0,1,,1,1,,0,0,0,0,0,1,0,1
89,56490,valueRequiresStatement,1,42,,35,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.3333333333333333,0.8571428571428571,,0.0,0.25,,0,1,,1,1,,0,0,0,0,0,1,0,1
90,66339,valueRequiresStatement,1,42,,35,6,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 0, 0, 0, 0]",1,1,1,0.8918918918918919,0.9230769230769231,0.8918918918918919,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
91,53610,type,1,45,,37,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.4782608695652174,0.52,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
94,62203,type,1,47,,39,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.7931034482758621,0.9090909090909091,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
95,70736,inverse,1,42,,20,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 74214, 0, 0, 0, 0]",,1,1,,0.84,0.875,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
96,62766,itemRequiresStatement,1,42,,22,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",,0,1,,0.85,1.0,,0.15,0.0,,3,0,,1,0,,0,1,0,0,0,0,0,0
98,64322,valueType,1,46,,21,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 74214, 0, 0, 0, 0]",,0,1,,0.0,1.0,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
100,66339,valueRequiresStatement,1,41,,34,2,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 74214, 74195, 0, 0, 0]",0,1,1,0.7692307692307693,0.8666666666666667,0.8461538461538461,0.0,0.0,0.0,0,0,0,1,1,1,0,1,0,1,0,1,0,1
102,62027,type,1,47,,42,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.6052631578947368,0.6511627906976745,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
104,56097,itemRequiresStatement,1,41,,38,,"[74195, 29762, 0, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,1.0,0.95,,0.0,0.07692307692307693,,0,1,,0,1,,0,0,0,0,0,1,0,0
106,64322,valueType,1,46,,43,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.966804979253112,0.9766666666666667,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
107,68597,type,1,42,,19,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 74214, 0, 0, 0, 0]",,0,1,,1.0,1.0,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
108,72906,valueRequiresStatement,1,42,,18,,"[74195, 29762, 0, 0, 0, 0]","[74195, 29923, 30002, 0, 0, 0]",,1,1,,0.9,1.0,,0.0,0.0,,0,0,,0,1,,1,1,0,0,0,0,0,0
111,51438,type,1,44,,40,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9886363636363636,0.9903846153846154,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
113,56687,distinct,1,41,,24,24,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]","[0, 0, 0, 74195, 74214, 0]",1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,1,1,0,0,0
114,60921,distinct,1,41,,28,,"[74195, 0, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.6666666666666666,0.7586206896551724,,0.0,0.0,,0,0,,0,1,,0,1,0,0,0,1,0,1
119,56490,valueRequiresStatement,1,42,,37,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.2608695652173913,0.8461538461538461,,0.0,0.3333333333333333,,0,2,,1,1,,0,0,0,0,0,1,0,1
122,66339,valueRequiresStatement,1,41,,3,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,1,1,,0.7058823529411765,0.8461538461538461,,0.08333333333333333,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
123,71311,type,1,55,,25,25,"[74195, 29762, 0, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]",1,1,1,0.9565217391304348,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
124,59405,distinct,1,41,,21,24,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 74214, 74215]",1,1,1,1.0,1.0,0.967741935483871,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
126,55039,itemRequiresStatement,1,41,,21,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",,0,1,,0.8,1.0,,0.2,0.0,,3,0,,1,0,,0,1,0,0,0,0,0,0
132,66339,valueRequiresStatement,1,41,,20,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 74214, 0, 0, 0, 0]",,1,1,,0.9285714285714286,1.0,,0.07692307692307693,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
133,62207,valueType,1,44,,40,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.7285714285714285,0.8117647058823529,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
134,70810,oneOf,1,51,,47,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.5977011494252874,0.6666666666666666,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
135,59405,distinct,1,41,,21,24,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 74214, 74215]",1,1,1,1.0,1.0,0.967741935483871,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
136,62202,valueRequiresStatement,1,42,,38,2,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 98872, 0, 0, 0]",1,1,1,0.5957446808510638,0.6981132075471698,0.5957446808510638,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
137,62202,valueRequiresStatement,1,42,,38,16,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74195, 29762, 29818, 0, 0, 0]",1,1,1,0.6,0.6935483870967742,0.6545454545454545,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
139,59405,distinct,1,41,,21,24,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 74214, 74215]",1,1,1,1.0,1.0,0.967741935483871,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
140,59402,inverse,1,42,,22,0,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[74723, 33681, 98872, 0, 0, 0]",1,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
141,52397,valueRequiresStatement,1,41,,36,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.2222222222222222,0.6923076923076923,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
142,51435,valueType,1,45,,41,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9362745098039216,0.9552845528455285,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
144,67492,valueType,1,45,,11,,"[74215, 29762, 74195, 0, 0, 0]","[74215, 29762, 0, 0, 0, 0]",,1,1,,0.9830508474576272,1.0,,0.017241379310344827,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
145,56098,valueType,1,43,,40,,"[74195, 29762, 0, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,1.0,0.95,,0.0,0.07692307692307693,,0,1,,0,1,,0,0,0,0,0,1,0,0
146,55764,itemRequiresStatement,1,42,,4,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,0,1,,0.8695652173913043,0.96,,0.09090909090909091,0.0,,2,0,,1,0,,0,1,0,0,0,0,0,0
147,52216,conflictWith,1,42,,30,3,"[74195, 0, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74195, 0, 74195, 0, 0, 0]",1,1,1,0.8823529411764706,1.0,0.8823529411764706,0.0,0.0,0.0,0,0,0,0,1,0,1,1,1,1,0,1,0,1
149,72933,inverse,1,43,,6,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,1,1,,0.7142857142857143,0.7777777777777778,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
152,57013,inverse,1,42,,22,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",,1,1,,0.6363636363636364,0.6923076923076923,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
154,53992,valueType,1,44,,40,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9135135135135135,0.9262672811059908,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
156,67492,valueType,1,45,,40,13,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 29818, 0, 0, 0]",1,1,1,0.7142857142857143,0.7435897435897436,0.7428571428571429,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
158,66339,valueRequiresStatement,1,42,,35,4,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 0, 0, 0, 0]",1,1,1,0.8918918918918919,0.9230769230769231,0.8918918918918919,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
162,73459,valueType,1,43,,39,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9380530973451328,0.9659863945578231,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
167,65158,valueType,1,43,,39,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.7209302325581395,0.780373831775701,,0.0,0.008064516129032258,,0,1,,1,1,,0,0,0,0,0,1,0,1
168,72906,valueRequiresStatement,1,42,,18,,"[74195, 29762, 0, 0, 0, 0]","[74195, 29923, 30002, 0, 0, 0]",,1,1,,0.9230769230769231,1.0,,0.0,0.0,,0,0,,0,1,,1,1,0,0,0,0,0,0
169,52397,valueRequiresStatement,1,42,,38,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.7619047619047619,0.8653846153846154,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
172,53533,distinct,1,41,,28,,"[74195, 0, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.8,1.0,,0.0,0.0,,0,0,,0,1,,0,1,0,0,0,1,0,1
174,64245,valueType,1,48,,44,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.2857142857142857,0.6666666666666666,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
175,62202,valueRequiresStatement,1,42,,38,21,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74195, 29762, 29818, 0, 0, 0]",1,1,1,0.7391304347826086,0.7818181818181819,0.7608695652173914,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
176,56490,valueRequiresStatement,1,42,,37,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.125,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
179,59405,distinct,1,41,,21,24,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 74214, 74215]",1,1,1,1.0,1.0,0.967741935483871,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
180,61651,type,1,44,,20,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 74214, 0, 0, 0, 0]",,0,1,,0.75,1.0,,0.25,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
183,53611,valueType,1,43,,39,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5862068965517241,0.625,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
184,53040,type,1,49,,10,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,0,1,,1.0,1.0,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
186,73014,type,1,51,,46,,"[74195, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,1.0,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,0
187,60924,single,1,42,,7,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,1,1,,0.9285714285714286,1.0,,0.07407407407407407,0.0,,2,0,,1,0,,0,1,0,0,0,0,0,0
192,56490,valueRequiresStatement,1,42,,34,,"[74215, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.36363636363636365,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
193,57013,inverse,1,42,,17,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 74214, 0, 0, 0, 0]",,1,1,,0.9285714285714286,0.9411764705882353,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
196,60919,type,1,44,,6,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,0,1,,0.875,1.0,,0.125,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
197,63258,itemRequiresStatement,1,41,,36,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9642857142857143,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
198,52397,valueRequiresStatement,1,42,,38,12,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 0, 0, 0, 0]",1,1,1,0.6785714285714286,0.8125,0.6785714285714286,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
199,71312,valueType,1,43,,39,,"[74195, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9230769230769231,0.9375,,0.0,0.08333333333333333,,0,1,,1,1,,0,0,0,0,0,1,0,1
200,64245,valueType,1,48,,44,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.92,0.9545454545454546,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
203,51435,valueType,1,45,,41,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.8526315789473684,0.8918918918918919,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
205,68647,inverse,1,42,,7,,"[74195, 74214, 74195, 0, 0, 0]","[74195, 0, 74195, 0, 0, 0]",,1,1,,0.625,0.6470588235294118,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
210,73973,valueType,1,47,,43,17,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74195, 29762, 29818, 0, 0, 0]",1,1,1,0.6790123456790124,0.7346938775510204,0.7283950617283951,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
215,71311,type,1,55,,25,25,"[74195, 29762, 0, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]",1,1,1,0.9473684210526315,1.0,1.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
216,52410,valueType,1,43,,39,,"[74215, 29762, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.26666666666666666,0.5555555555555556,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
