index,constraint_id,constraint_type,density_bucket,candidate_count,selected_candidate_index,oracle_candidate_index,non_vacuous_oracle_candidate_index,selected_slots,oracle_slots,non_vacuous_oracle_slots,selected_primary_satisfied,oracle_primary_satisfied,non_vacuous_oracle_primary_satisfied,selected_gfr,oracle_gfr,non_vacuous_oracle_gfr,selected_srr,oracle_srr,non_vacuous_oracle_srr,selected_regressions,oracle_regressions,non_vacuous_oracle_regressions,selected_disruption,oracle_disruption,non_vacuous_oracle_disruption,selected_safe,oracle_safe,selected_non_vacuous_safe,oracle_non_vacuous_safe,selected_focus_deleted,oracle_focus_deleted,selected_vacuous_satisfaction_improvement,oracle_vacuous_satisfaction_improvement
61,62202,valueRequiresStatement,1,41,1,32,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.6888888888888889,0.7884615384615384,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
63,52397,valueRequiresStatement,1,41,1,36,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.375,0.5555555555555556,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
64,51492,type,1,43,21,7,,"[74195, 29852, 39867, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]",,1,1,,0.7368421052631579,0.7456140350877193,,0.011904761904761904,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
67,52397,valueRequiresStatement,1,41,1,36,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6176470588235294,0.75,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
68,70810,oneOf,1,52,0,14,,"[74195, 74214, 35947, 74195, 74214, 74215]","[74195, 74214, 0, 0, 0, 0]",,0,0,,0.963302752293578,0.9727272727272728,,0.009433962264150943,0.0,,1,0,,2,0,,0,0,0,0,0,0,0,0
69,64322,valueType,1,45,6,43,,"[74215, 29762, 75233, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.959409594095941,0.9693251533742331,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
71,62202,valueRequiresStatement,1,41,1,36,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6428571428571429,0.734375,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
72,56958,valueType,1,42,3,33,11,"[74215, 29762, 81924, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 0, 38587, 0, 0, 0]",1,1,1,0.8085106382978723,0.8695652173913043,0.8085106382978723,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
73,59405,distinct,1,42,37,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
77,52397,valueRequiresStatement,1,41,1,36,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5625,0.7027027027027027,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
78,53992,valueType,1,43,7,36,18,"[74215, 29762, 42781, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 29762, 31447, 0, 0, 0]",1,1,1,0.9362745098039216,0.9453781512605042,0.9362745098039216,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
79,68693,valueType,1,43,7,35,23,"[74215, 29762, 49753, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 0, 0]",1,1,1,0.6037735849056604,0.6612903225806451,0.6037735849056604,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
82,56100,type,1,42,2,1,,"[74195, 30990, 31172, 0, 0, 0]","[0, 0, 0, 98872, 30990, 31156]",,0,1,,0.8888888888888888,0.9285714285714286,,0.1111111111111111,0.1111111111111111,,1,1,,1,1,,0,0,0,0,0,1,0,0
86,59405,distinct,1,42,40,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
87,66550,valueType,1,43,12,33,,"[74195, 29762, 83665, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.8316831683168316,0.853448275862069,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
90,66339,valueRequiresStatement,1,41,1,36,,"[74215, 74214, 98365, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8918918918918919,0.9230769230769231,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
91,53610,type,1,45,0,36,,"[74195, 29762, 37137, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.4782608695652174,0.52,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
92,57383,inverse,1,42,3,6,,"[74215, 30991, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,0,1,,0.7966101694915254,0.819672131147541,,0.020833333333333332,0.0,,1,0,,1,0,,0,1,0,0,0,0,0,0
94,62203,type,1,47,7,40,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.7931034482758621,0.9090909090909091,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
95,70736,inverse,1,42,2,5,,"[74215, 74214, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,0,0,,0.84,0.875,,0.0,0.0,,0,0,,1,0,,0,0,0,0,0,0,0,0
96,62766,itemRequiresStatement,1,41,2,21,,"[74195, 30122, 98872, 0, 0, 0]","[0, 0, 0, 0, 0, 0]",,0,0,,0.9130434782608695,1.0,,0.08695652173913043,0.0,,2,0,,1,0,,0,0,0,0,0,0,0,0
100,66339,valueRequiresStatement,1,40,1,27,,"[74215, 74214, 35546, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8461538461538461,0.8666666666666667,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
101,59405,distinct,1,42,37,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
102,62027,type,1,47,0,36,,"[74195, 29762, 35777, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6052631578947368,0.6511627906976745,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
103,59405,distinct,1,42,37,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
106,64322,valueType,1,45,13,37,,"[74195, 29762, 74906, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.966804979253112,0.9766666666666667,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
108,72906,valueRequiresStatement,1,42,2,6,,"[74195, 30990, 31172, 0, 0, 0]","[74195, 74214, 31172, 0, 0, 0]",,0,0,,0.8,1.0,,0.1111111111111111,0.0,,1,0,,1,1,,0,0,0,0,0,0,0,0
109,68746,itemRequiresStatement,1,42,0,12,,"[74195, 29766, 38319, 0, 0, 0]","[74195, 29762, 0, 0, 0, 0]",,1,1,,0.96875,1.0,,0.031746031746031744,0.0,,2,0,,1,0,,0,1,0,0,0,0,0,0
111,51438,type,1,44,9,34,18,"[74195, 30131, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74195, 29762, 0, 0, 0, 0]",1,1,1,0.9886363636363636,0.9903846153846154,0.9886363636363636,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
114,60921,distinct,1,42,17,22,,"[74195, 74214, 74215, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6666666666666666,0.7586206896551724,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
118,59405,distinct,1,42,37,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
123,71311,type,1,55,30,47,,"[74195, 30990, 31172, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9565217391304348,0.9642857142857143,,0.0,0.045454545454545456,,0,1,,1,1,,0,0,0,0,0,1,0,1
124,59405,distinct,1,41,38,21,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 89881, 74214, 74215]",,0,0,,0.967741935483871,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
125,59405,distinct,1,42,40,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
128,71476,itemRequiresStatement,1,41,1,6,,"[74195, 30122, 98872, 0, 0, 0]","[74195, 30122, 0, 0, 0, 0]",,0,0,,0.9459459459459459,1.0,,0.05405405405405406,0.0,,2,0,,1,0,,0,0,0,0,0,0,0,0
130,59405,distinct,1,42,39,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
132,66339,valueRequiresStatement,1,40,1,2,,"[74215, 74214, 35546, 0, 0, 0]","[74215, 0, 35546, 0, 0, 0]",,0,0,,0.9375,1.0,,0.0625,0.0,,1,0,,1,0,,0,0,0,0,0,0,0,0
133,62207,valueType,1,43,8,34,,"[74215, 29762, 76841, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.7285714285714285,0.8117647058823529,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
134,70810,oneOf,1,50,31,31,32,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,0.6666666666666666,0.6666666666666666,0.5977011494252874,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
135,59405,distinct,1,41,38,21,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 89881, 74214, 74215]",,0,0,,0.967741935483871,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
136,62202,valueRequiresStatement,1,41,31,31,1,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 35471, 0, 0, 0]",1,1,1,0.6981132075471698,0.6981132075471698,0.5957446808510638,0.0,0.0,0.0,0,0,0,1,1,1,1,1,0,1,1,1,1,1
137,62202,valueRequiresStatement,1,41,6,32,,"[74215, 29762, 85346, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6,0.6935483870967742,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
139,59405,distinct,1,41,38,21,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 89881, 74214, 74215]",,0,0,,0.967741935483871,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
140,59402,inverse,1,41,10,27,,"[74215, 30780, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9090909090909091,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
141,52397,valueRequiresStatement,1,41,1,31,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.2222222222222222,0.6923076923076923,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
142,51435,valueType,1,45,10,34,,"[74215, 29762, 75576, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9362745098039216,0.9552845528455285,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
144,67492,valueType,1,44,6,8,,"[74215, 29762, 32377, 0, 0, 0]","[74215, 29762, 0, 0, 0, 0]",,0,0,,0.9830508474576272,1.0,,0.01694915254237288,0.0,,1,0,,1,0,,0,0,0,0,0,0,0,0
147,52216,conflictWith,1,42,22,25,,"[0, 0, 0, 74195, 74196, 74197]","[0, 0, 0, 74195, 74214, 74197]",,0,1,,0.8823529411764706,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
149,72933,inverse,1,42,7,5,,"[74215, 44555, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,0,0,,0.7142857142857143,0.7777777777777778,,0.0,0.0,,0,0,,1,0,,0,0,0,0,0,0,0,0
154,53992,valueType,1,44,8,35,,"[74215, 29762, 75576, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9135135135135135,0.9262672811059908,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
156,67492,valueType,1,45,9,35,,"[74215, 29762, 31362, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.7142857142857143,0.7435897435897436,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
158,66339,valueRequiresStatement,1,41,1,36,,"[74215, 74214, 98365, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8918918918918919,0.9230769230769231,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
161,59405,distinct,1,42,41,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
162,73459,valueType,1,42,2,33,,"[74215, 29762, 35288, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9380530973451328,0.9659863945578231,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
163,59405,distinct,1,42,37,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
168,72906,valueRequiresStatement,1,42,2,8,,"[74195, 30990, 31172, 0, 0, 0]","[74195, 74214, 31172, 0, 0, 0]",,0,0,,0.8461538461538461,1.0,,0.08333333333333333,0.0,,1,0,,1,1,,0,0,0,0,0,0,0,0
169,52397,valueRequiresStatement,1,41,1,36,8,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 31319, 98872, 0, 0, 0]",1,1,1,0.7619047619047619,0.8653846153846154,0.7619047619047619,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
174,64245,valueType,1,47,7,38,,"[74215, 29762, 31361, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.2857142857142857,0.6666666666666666,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
175,62202,valueRequiresStatement,1,41,1,35,4,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 32464, 0, 0, 0]",1,1,1,0.7391304347826086,0.7818181818181819,0.7608695652173914,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
176,56490,valueRequiresStatement,1,41,1,34,,"[74215, 29803, 29818, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.125,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
178,59405,distinct,1,42,40,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
179,59405,distinct,1,41,38,21,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 89881, 74214, 74215]",,0,0,,0.967741935483871,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
183,53611,valueType,1,42,4,33,,"[74215, 29762, 83474, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5862068965517241,0.625,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
187,60924,single,1,42,0,13,,"[74195, 74214, 98872, 74195, 74214, 74215]","[74195, 0, 98872, 0, 0, 0]",,1,1,,0.9285714285714286,1.0,,0.07407407407407407,0.0,,2,0,,2,0,,0,1,0,0,0,0,0,0
191,56490,valueRequiresStatement,1,42,12,8,,"[74195, 30990, 31172, 0, 0, 0]","[74215, 29762, 35302, 0, 0, 0]",,0,0,,0.95,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,0,0,0
192,56490,valueRequiresStatement,1,41,1,34,,"[74215, 29803, 29818, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.36363636363636365,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
197,63258,itemRequiresStatement,1,41,4,29,,"[74195, 29762, 87351, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9285714285714286,1.0,,0.07407407407407407,0.0,,2,0,,1,1,,0,1,0,0,0,1,0,1
198,52397,valueRequiresStatement,1,41,1,38,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6785714285714286,0.8125,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
200,64245,valueType,1,47,8,6,,"[74215, 29762, 82829, 0, 0, 0]","[0, 0, 0, 98872, 33289, 32351]",,0,0,,0.92,0.9545454545454546,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
203,51435,valueType,1,44,13,34,16,"[74195, 30131, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 0, 0, 0, 0]",1,1,1,0.8526315789473684,0.8918918918918919,0.8526315789473684,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
209,59405,distinct,1,42,39,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
210,73973,valueType,1,46,6,39,,"[74215, 29803, 88659, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6790123456790124,0.7346938775510204,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
212,59405,distinct,1,42,40,23,,"[0, 0, 0, 84718, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
214,51865,single,1,41,1,6,,"[74195, 30990, 31172, 0, 0, 0]","[74195, 30990, 0, 0, 0, 0]",,0,0,,0.9473684210526315,1.0,,0.05263157894736842,0.0,,2,0,,1,0,,0,0,0,0,0,0,0,0
215,71311,type,1,55,18,25,25,"[74195, 30990, 31172, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]",1,1,1,0.9473684210526315,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
216,52410,valueType,1,42,14,29,,"[74215, 29762, 98461, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.26666666666666666,0.5555555555555556,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
218,56958,valueType,1,42,3,33,,"[74215, 29762, 81924, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8222222222222222,0.8818181818181818,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
