index,constraint_id,constraint_type,density_bucket,candidate_count,selected_candidate_index,oracle_candidate_index,non_vacuous_oracle_candidate_index,selected_slots,oracle_slots,non_vacuous_oracle_slots,selected_primary_satisfied,oracle_primary_satisfied,non_vacuous_oracle_primary_satisfied,selected_gfr,oracle_gfr,non_vacuous_oracle_gfr,selected_srr,oracle_srr,non_vacuous_oracle_srr,selected_regressions,oracle_regressions,non_vacuous_oracle_regressions,selected_disruption,oracle_disruption,non_vacuous_oracle_disruption,selected_safe,oracle_safe,selected_non_vacuous_safe,oracle_non_vacuous_safe,selected_focus_deleted,oracle_focus_deleted,selected_vacuous_satisfaction_improvement,oracle_vacuous_satisfaction_improvement
72,56958,valueType,1,42,2,33,11,"[74215, 29762, 38587, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 0, 38587, 0, 0, 0]",1,1,1,0.8085106382978723,0.8695652173913043,0.8085106382978723,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
73,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
77,52397,valueRequiresStatement,1,41,1,30,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5625,0.7027027027027027,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
78,53992,valueType,1,43,3,36,23,"[74215, 29762, 31447, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 0, 0]",1,1,1,0.9362745098039216,0.9453781512605042,0.9362745098039216,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
79,68693,valueType,1,43,3,33,20,"[74215, 29762, 75994, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 0, 75994, 0, 0, 0]",1,1,1,0.6037735849056604,0.6612903225806451,0.6037735849056604,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
82,56100,type,1,42,2,33,,"[74195, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,1.0,0.9285714285714286,,0.0,0.1111111111111111,,0,1,,1,1,,0,0,0,0,0,1,0,0
86,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
87,66550,valueType,1,43,3,31,,"[74215, 29762, 83666, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.8316831683168316,0.853448275862069,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
90,66339,valueRequiresStatement,1,41,1,39,,"[74215, 74214, 98365, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8918918918918919,0.9230769230769231,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
91,53610,type,1,45,5,35,,"[74195, 29762, 97982, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.4782608695652174,0.52,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
92,57383,inverse,1,42,2,5,,"[74215, 74214, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,1,1,,0.7884615384615384,0.819672131147541,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
94,62203,type,1,47,7,40,,"[74195, 29762, 30004, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.7931034482758621,0.9090909090909091,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
95,70736,inverse,1,42,2,3,,"[74215, 74214, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,0,0,,0.84,0.875,,0.0,0.0,,0,0,,1,0,,0,0,0,0,0,0,0,0
100,66339,valueRequiresStatement,1,40,1,27,,"[74215, 74214, 35546, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8461538461538461,0.8666666666666667,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
101,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
102,62027,type,1,47,7,34,,"[74195, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6052631578947368,0.6511627906976745,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
103,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
106,64322,valueType,1,46,6,33,,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.966804979253112,0.9766666666666667,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
108,72906,valueRequiresStatement,1,42,2,0,,"[74195, 29762, 98872, 0, 0, 0]","[74215, 74214, 98872, 0, 0, 0]",,0,0,,0.9,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,0,0,0
111,51438,type,1,44,4,33,8,"[74195, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74195, 29762, 0, 0, 0, 0]",0,1,1,0.8977272727272727,0.9903846153846154,0.9886363636363636,0.08139534883720931,0.0,0.0,7,0,0,1,1,0,0,1,0,1,0,1,0,1
118,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
123,71311,type,1,55,15,48,,"[74215, 29762, 35302, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9565217391304348,0.9642857142857143,,0.0,0.045454545454545456,,0,1,,1,1,,0,0,0,0,0,1,0,1
125,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
128,71476,itemRequiresStatement,1,41,1,5,,"[74195, 30122, 98872, 0, 0, 0]","[74195, 30122, 0, 0, 0, 0]",,0,0,,0.9459459459459459,1.0,,0.05405405405405406,0.0,,2,0,,1,0,,0,0,0,0,0,0,0,0
130,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
132,66339,valueRequiresStatement,1,40,1,2,,"[74215, 74214, 35546, 0, 0, 0]","[0, 74214, 35546, 0, 0, 0]",,0,0,,0.9375,1.0,,0.0625,0.0,,1,0,,1,0,,0,0,0,0,0,0,0,0
133,62207,valueType,1,43,3,37,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.7285714285714285,0.8117647058823529,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
134,70810,oneOf,1,50,31,31,32,"[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 74195, 74214, 0]",1,1,1,0.6666666666666666,0.6666666666666666,0.5977011494252874,0.0,0.0,0.0,0,0,0,1,1,0,1,1,0,1,1,1,1,1
136,62202,valueRequiresStatement,1,41,1,32,1,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 35471, 0, 0, 0]",1,1,1,0.5957446808510638,0.6981132075471698,0.5957446808510638,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
137,62202,valueRequiresStatement,1,41,1,32,,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6,0.6935483870967742,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
141,52397,valueRequiresStatement,1,41,1,31,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.2222222222222222,0.6923076923076923,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
142,51435,valueType,1,45,5,34,,"[74215, 29762, 83717, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9362745098039216,0.9552845528455285,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
144,67492,valueType,1,44,4,8,,"[74215, 29762, 98872, 0, 0, 0]","[74215, 29762, 0, 0, 0, 0]",,0,0,,0.9830508474576272,1.0,,0.01694915254237288,0.0,,1,0,,1,0,,0,0,0,0,0,0,0,0
147,52216,conflictWith,1,41,22,23,,"[0, 0, 0, 74195, 74196, 74197]","[0, 0, 0, 74195, 74214, 74197]",,0,1,,0.8823529411764706,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
154,53992,valueType,1,44,4,33,,"[74215, 29762, 31447, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9135135135135135,0.9262672811059908,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
156,67492,valueType,1,45,5,35,,"[74215, 29762, 29900, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.7142857142857143,0.7435897435897436,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
158,66339,valueRequiresStatement,1,41,1,39,,"[74215, 74214, 98365, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8918918918918919,0.9230769230769231,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
161,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
162,73459,valueType,1,42,2,34,,"[74215, 29762, 35288, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9380530973451328,0.9659863945578231,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
163,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
168,72906,valueRequiresStatement,1,42,2,21,,"[74195, 29762, 98872, 0, 0, 0]","[74195, 29923, 98872, 0, 0, 0]",,0,0,,0.9230769230769231,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,0,0,0
169,52397,valueRequiresStatement,1,41,1,32,7,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 31319, 0, 0, 0, 0]",1,1,1,0.7619047619047619,0.8653846153846154,0.7619047619047619,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
174,64245,valueType,1,47,7,38,,"[74215, 29762, 31361, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.2857142857142857,0.6666666666666666,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
175,62202,valueRequiresStatement,1,41,1,35,6,"[74215, 29762, 35471, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[74215, 29762, 32464, 0, 0, 0]",1,1,1,0.7391304347826086,0.7818181818181819,0.7608695652173914,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,1,0,1
176,56490,valueRequiresStatement,1,41,1,32,,"[74215, 29803, 29818, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.125,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
178,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
183,53611,valueType,1,42,2,33,,"[74215, 29762, 97982, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5862068965517241,0.625,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
191,56490,valueRequiresStatement,1,41,1,3,,"[74215, 29803, 74477, 0, 0, 0]","[74215, 29803, 35302, 0, 0, 0]",,0,0,,0.95,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,0,0,0
192,56490,valueRequiresStatement,1,41,1,32,,"[74215, 29803, 29818, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.36363636363636365,1.0,,0.0,0.0,,0,0,,1,1,,0,1,0,0,0,1,0,1
197,63258,itemRequiresStatement,1,41,1,30,,"[74195, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,1,,0.9285714285714286,1.0,,0.07407407407407407,0.0,,2,0,,1,1,,0,1,0,0,0,1,0,1
198,52397,valueRequiresStatement,1,41,1,34,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6785714285714286,0.8125,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
200,64245,valueType,1,47,7,41,,"[74215, 29762, 82829, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.92,0.9545454545454546,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
203,51435,valueType,1,44,4,33,24,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 0, 0, 0, 0, 0]",1,1,1,0.8526315789473684,0.8918918918918919,0.8526315789473684,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
205,68647,inverse,1,42,2,3,,"[74215, 74214, 74195, 0, 0, 0]","[74215, 0, 74195, 0, 0, 0]",,1,1,,0.625,0.6470588235294118,,0.0,0.0,,0,0,,1,0,,0,1,0,0,0,0,0,0
209,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
210,73973,valueType,1,46,6,44,,"[74215, 29803, 88659, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6790123456790124,0.7346938775510204,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
212,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
214,51865,single,1,41,1,7,,"[74195, 30990, 98872, 0, 0, 0]","[74195, 30990, 0, 0, 0, 0]",,0,0,,0.9473684210526315,1.0,,0.05263157894736842,0.0,,2,0,,1,0,,0,0,0,0,0,0,0,0
215,71311,type,1,55,15,24,24,"[74215, 29762, 35302, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]","[74215, 29762, 30002, 0, 0, 0]",1,1,1,0.9473684210526315,1.0,1.0,0.0,0.0,0.0,0,0,0,1,1,1,1,1,1,1,0,0,0,0
216,52410,valueType,1,42,2,29,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.26666666666666666,0.5555555555555556,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
218,56958,valueType,1,42,2,33,,"[74215, 29762, 38587, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.8222222222222222,0.8818181818181818,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
221,64245,valueType,1,47,7,38,,"[74215, 29762, 31361, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.15384615384615385,0.4,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
225,64322,valueType,1,45,5,34,,"[74215, 29762, 38487, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9222222222222223,0.9354838709677419,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
226,71311,type,1,55,15,48,,"[74195, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.88,0.9655172413793104,,0.08333333333333333,0.0,,2,0,,1,1,,0,0,0,0,0,1,0,1
228,51433,valueRequiresStatement,1,42,2,31,19,"[74215, 29762, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 29762, 98872, 0, 0, 0]",1,1,1,0.868421052631579,0.9047619047619048,0.868421052631579,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
229,56958,valueType,1,42,2,31,,"[74195, 29762, 39867, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.21428571428571427,0.4444444444444444,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
231,65737,valueRequiresStatement,1,41,1,40,,"[74215, 29762, 31113, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.6444444444444445,0.6666666666666666,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
237,52397,valueRequiresStatement,1,41,1,31,9,"[74215, 31319, 89207, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]","[0, 31319, 89207, 0, 0, 0]",1,1,1,0.6486486486486487,0.7727272727272727,0.6486486486486487,0.0,0.0,0.0,0,0,0,1,1,0,1,1,1,1,0,1,0,1
238,63734,itemRequiresStatement,1,41,1,32,,"[74195, 33336, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5882352941176471,0.675,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
239,59405,distinct,1,42,22,23,,"[0, 0, 0, 89881, 74214, 74215]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9354838709677419,1.0,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
254,73973,valueType,1,46,6,5,,"[74215, 29803, 88659, 0, 0, 0]","[0, 0, 0, 98872, 30860, 39833]",,0,0,,0.8627450980392157,0.9027777777777778,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
260,52397,valueRequiresStatement,1,41,1,32,,"[74215, 31319, 98872, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.4,0.6470588235294118,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
262,55133,itemRequiresStatement,1,42,2,32,,"[74215, 74214, 74195, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.5238095238095238,0.6521739130434783,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
266,64245,valueType,1,47,7,41,,"[74215, 29762, 82829, 0, 0, 0]","[0, 0, 0, 74195, 74214, 74215]",,0,0,,0.9452054794520548,0.9767441860465116,,0.0,0.0,,0,0,,1,1,,0,0,0,0,0,1,0,1
